Player,Club,Position
Daniel Talia,Adelaide Crows,Defender
Alex Keath,Adelaide Crows,Defender
Kyle Hartigan,Adelaide Crows,Defender
Andy Otten,Adelaide Crows,Defender
Jordon Butts,Adelaide Crows,Defender
Harris Andrews,Brisbane Lions,Defender
Josh Walker,Brisbane Lions,Defender
Marcus Adams,Brisbane Lions,Defender
Matt Eagles,Brisbane Lions,Defender
Jack Payne,Brisbane Lions,Defender
Liam Jones,Carlton,Defender
Jacob Weitering,Carlton,Defender
Lachie Plowman,Carlton,Defender
Caleb Marchbank,Carlton,Defender
Hugh Goddard,Carlton,Defender
Harrison Macreadie,Carlton,Defender
Ben Silvagni,Carlton,Defender
Jordan Roughead,Collingwood,Defender
Darcy Moore,Collingwood,Defender
Lynden Dunn,Collingwood,Defender
Jack Madgen,Collingwood,Defender
Mark Keane,Collingwood,Defender
Cale Hooker,Essendon,Defender
Michael Hurley,Essendon,Defender
Aaron Francis,Essendon,Defender
Patrick Ambrose,Essendon,Defender
Michael Hartley,Essendon,Defender
Brandon Zerk-Thatcher,Essendon,Defender
Joel Hamling,Fremantle,Defender
Alex Pearce,Fremantle,Defender
Griffin Logue,Fremantle,Defender
Dillon OReilly,Fremantle,Defender
Tobe Watson,Fremantle,Defender
Mark Blicavs,Geelong Cats,Defender
Harry Taylor,Geelong Cats,Defender
Tom Stewart,Geelong Cats,Defender
Jake Kolodjashnij,Geelong Cats,Defender
Lachie Henderson,Geelong Cats,Defender
Ben Jarvis,Geelong Cats,Defender
Charlie Ballard,Gold Coast Suns,Defender
Jack Hombsch,Gold Coast Suns,Defender
Rory Thompson,Gold Coast Suns,Defender
Sam Collins,Gold Coast Suns,Defender
Jack Leslie,Gold Coast Suns,Defender
Caleb Graham,Gold Coast Suns,Defender
Jeremy Finlayson,GWS Giants,Forward
Phil Davis,GWS Giants,Defender
Nick Haynes,GWS Giants,Defender
Sam Taylor,GWS Giants,Defender
Aidan Corr,GWS Giants,Defender
Lachlan Keeffe,GWS Giants,Defender
Connor Idun,GWS Giants,Defender
James Frawley,Hawthorn,Defender
Kaiden Brand,Hawthorn,Defender
Tim Mohr,Hawthorn,Defender
Jacob Koschitzke,Hawthorn,Defender
Sam Frost,Melbourne,Defender
Oscar McDonald,Melbourne,Defender
Steven May,Melbourne,Defender
Jake Lever,Melbourne,Defender
Marty Hore,Melbourne,Defender
Harry Petty,Melbourne,Defender
Scott Thompson,North Melbourne,Defender
Robbie Tarrant,North Melbourne,Defender
Majak Daw,North Melbourne,Defender
Ed Vickers-Willis,North Melbourne,Defender
Sam Durdin,North Melbourne,Defender
Ben McKay,North Melbourne,Defender
Declan Watson,North Melbourne,Defender
Dougal Howard,Port Adelaide,Defender
Ryan Burton,Port Adelaide,Defender
Riley Grundy,Port Adelaide,Defender
Alex Rance,Richmond,Defender
David Astbury,Richmond,Defender
Ryan Garthwaite,Richmond,Defender
Ben Miller,Richmond,Defender
Jake Carlisle,St Kilda,Defender
Nathan Brown,St Kilda,Defender
Callum Wilkie,St Kilda,Defender
Josh Battle,St Kilda,Defender
Sam Rowe,St Kilda,Defender
Logan Austin,St Kilda,Defender
Jonathon Marsh,St Kilda,Defender
Oscar Clavarino,St Kilda,Defender
Aliir Aliir,Sydney Swans,Defender
