Year,Round,Away,Away Score,Home Field-A,Away State
2019,R1G2,Richmond,97,MCG,VIC
2019,R1G2,Geelong,72,Kardinia Park,VIC
2019,R1G3,Port Adelaide,87,Adelaide Oval,SA
2019,r1g4,Hawthorn,87,MCG,VIC
2019,r1g5,Sydney,65,SCG,NSW
2019,r1g6,West Coast,58,Perth Stadium,WA
2019,r1g7,Gold Coast,84,Metricon,QLD
2019,r1g8,Essendon,40,Docklands,VIC
2019,r1g9,North Melbourne,59,Docklands,VIC
2019,r2g1,Collingwood,110,MCG,VIC
2019,r2g2,Adelaide,88,Adelaide Oval,SA
2019,r2g3,St. Kilda,76,Docklands,VIC
2019,r2g4,Carlton,72,Docklands,VIC
2019,r2g5,Greater Western Sydney,52,Sydney Showground,NSW
2019,r2g6,Melbourne,46,MCG,VIC
2019,r2g7,Brisbane,107,Gabba,QLD
2019,r2g8,Western Bulldogs,106,Docklands,VIC
2019,r2g9,Fremantle,58,Perth Stadium,WA
2019,r3g1,Geelong,99,Kardinia Park,VIC
2019,r3g2,Essendon,130,Docklands,VIC
2019,r3g3,Sydney,93,SCG,NSW
2019,r3g4,Richmond,76,MCG,VIC
2019,r3g5,Port Adelaide,90,Adelaide Oval,SA
2019,r3g6,West Coast,98,Perth Stadium,WA
2019,r3g7,Gold Coast,73,Metricon,QLD
2019,r3g8,North Melbourne,71,Docklands,VIC
2019,r3g9,St. Kilda,66,Docklands,VIC
2019,r4g1,Melbourne,100,MCG,VIC
2019,r4g2,Western Bulldogs,64,Docklands,VIC
2019,r4g3,Greater Western Sydney,79,Sydney Showground,NSW
2019,r4g4,Brisbane,65,Gabba,QLD
2019,r4g5,Richmond,99,MCG,VIC
2019,r4g6,Adelaide,59,Adelaide Oval,SA
2019,r4g7,Fremantle,56,Perth Stadium,WA
2019,r4g8,Carlton,57,Docklands,VIC
2019,r4g9,Hawthorn,69,MCG,VIC
2019,r5g1,Collingwood,123,MCG,VIC
2019,r5g2,Essendon,116,Docklands,VIC
2019,r5g3,Port Adelaide,95,Adelaide Oval,SA
2019,r5g4,Fremantle,106,Perth Stadium,WA
2019,r5g5,St. Kilda,95,Docklands,VIC
2019,r5g6,Sydney,67,SCG,NSW
2019,r5g7,Carlton,101,Docklands,VIC
2019,r5g8,Gold Coast,46,Metricon,QLD
2019,r5g9,Geelong,113,Kardinia Park,VIC
2019,r6g1,Melbourne,42,MCG,VIC
2019,r6g2,Collingwood,73,MCG,VIC
2019,r6g3,North Melbourne,72,Docklands,VIC
2019,r6g4,Brisbane,111,Gabba,QLD
2019,r6g5,Adelaide,97,Adelaide Oval,SA
2019,r6g6,Greater Western Sydney,120,Sydney Showground,NSW
2019,r6g7,Western Bulldogs,69,Docklands,VIC
2019,r6g8,Carlton,88,Docklands,VIC
2019,r6g9,West Coast,46,Perth Stadium,WA
2019,r7g1,Port Adelaide,69,Adelaide Oval,SA
2019,r7g2,Hawthorn,74,MCG,VIC
2019,r7g3,St. Kilda,70,Docklands,VIC
2019,r7g4,Sydney,81,SCG,NSW
2019,r7g5,Richmond,52,MCG,VIC
2019,r7g6,Gold Coast,57,Metricon,QLD
2019,r7g7,North Melbourne,120,Docklands,VIC
2019,r7g8,Essendon,54,Docklands,VIC
2019,r7g9,Fremantle,34,Perth Stadium,WA
2019,r8g1,Essendon,72,Docklands,VIC
2019,r8g2,Brisbane,76,Gabba,QLD
2019,r8g3,Collingwood,106,MCG,VIC
2019,r8g4,Melbourne,61,MCG,VIC
2019,r8g5,West Coast,88,Perth Stadium,WA
2019,r8g6,Adelaide,88,Adelaide Oval,SA
