Year,Round,Game,Away,Away Score,Home Field-A,Away State,LP-A
2020,round1,Game1,Carlton,81,Docklands,VIC,16
2020,round1,Game2,Collingwood,86,MCG,VIC,4
2020,round1,Game3,Fremantle,57,Perth Stadium,WA,13
2020,round1,Game4,Sydney,74,SCG,NSW,15
2020,round1,Game5,Port Adelaide,76,Adelaide Oval,SA,10
2020,round1,Game6,Geelong,73,Kardinia Park,VIC,1
2020,round1,Game7,St. Kilda,54,Docklands,VIC,14
2020,round1,Game8,Brisbane,62,Gabba,QLD,2
2020,round1,Game9,Melbourne,51,MCG,VIC,17
2020,round2,Game1,Richmond,36,MCG,VIC,13
2020,round2,Game2,Hawthorn,47,MCG,VIC,2
2020,round2,Game3,Fremantle,69,Perth Stadium,SA,12
2020,round2,Game4,Melbourne,54,MCG,VIC,8
2020,round2,Game5,Adelaide,35,Adelaide Oval,SA,1
2020,round2,Game6,West Coast,46,Perth Stadium,WA,14
2020,round2,Game7,North Melbourne,80,Docklands,VIC,10
2020,round2,Game8,Essendon,79,Docklands,VIC,15
2020,round2,Game9,Western Bulldogs,49,Docklands,VIC,16
2020,round3,Game1,Hawthorn,71,MCG,VIC,13
2020,round3,Game2,Greater Western Sydney,33,Sydney Showground,NSW,8
2020,round3,Game3,Sydney,71,SCG,NSW,9
2020,round3,Game4,St. Kilda,37,Docklands,VIC,6
2020,round3,Game5,Carlton,79,Docklands,VIC,16
2020,round3,Game6,West Coast,44,Perth Stadium,WA,12
2020,round3,Game7,Adelaide,29,Adelaide Oval,SA,17
2020,round3,Game8,Port Adelaide,70,Adelaide Oval,SA,1
2020,round4,Game1,Western Bulldogs,67,Docklands,VIC,16
2020,round4,Game2,Collingwood,64,MCG,VIC,2
2020,round4,Game3,West Coast,41,Perth Stadium,WA,15
2020,round4,Game4,Richmond,67,MCG,VIC,9
2020,round4,Game5,Carlton,52,Docklands,VIC,13
2020,round4,Game6,Fremantle,51,Perth Stadium,WA,17
2020,round4,Game7,Adelaide,46,Adelaide Oval,SA,18
2020,round4,Game8,Geelong,47,Kardinia Park,VIC,10
2020,round4,Game9,North Melbourne,54,Docklands,VIC,6
2020,round5,Game1,St. Kilda,73,Docklands,VIC,7
2020,round5,Game2,Essendon,63,MCG,VIC,8
2020,round5,Game3,Sydney,43,SCG,NSW,11
2020,round5,Game4,Gold Coast,52,Metricon,QLD,2
2020,round5,Game5,North Melbourne,38,Docklands,VIC,9
2020,round5,Game6,Port Adelaide,48,Adelaide Oval,SA,1
2020,round5,Game7,Fremantle,54,Perth Stadium,WA,17
2020,round5,Game8,Richmond,79,MCG,VIC,14
2020,round5,Game9,Hawthorn,49,MCG,VIC,4
2020,round6,Game1,Brisbane,46,Gabba,QLD,2
2020,round6,Game2,Hawthorn,27,MCG,VIC,9
2020,round6,Game3,St. Kilda,73,Docklands,VIC,4
2020,round6,Game4,Adelaide,34,Adelaide Oval,SA,18
2020,round6,Game5,Gold Coast,63,Metricon,QLD,6
2020,round6,Game6,North Melbourne,53,Docklands,VIC,13
2020,round6,Game7,Greater Western Sydney,46,Sydney Showground,NSW,7
2020,round6,Game8,Sydney,26,SCG,NSW,14
2020,round6,Game9,Western Bulldogs,51,Docklands,VIC,8
2020,round7,Game1,Collingwood,57,MCG,VIC,5
2020,round7,Game2,Western Bulldogs,93,Docklands,VIC,12
2020,round7,Game3,Brisbane,88,Gabba,QLD,3
2020,round7,Game4,Gold Coast,92,Metricon,QLD,9
2020,round7,Game5,North Melbourne,23,Docklands,VIC,16
2020,round7,Game6,Port Adelaide,64,Adelaide Oval,SA,1
2020,round7,Game7,Melbourne,91,MCG,VIC,15
2020,round7,Game8,West Coast,62,Perth Stadium,WA,11
2020,round7,Game9,St. Kilda,78,Docklands,VIC,7
2020,round8,Game1,Western Bulldogs,51,Docklands,VIC,9
2020,round8,Game2,Richmond,50,MCG,VIC,4
2020,round8,Game3,Carlton,64,Docklands,VIC,11
2020,round8,Game4,Hawthorn,53,MCG,VIC,14
2020,round8,Game5,St. Kilda,73,Docklands,VIC,6
2020,round8,Game6,Essendon,62,Docklands,VIC,10
2020,round8,Game7,Collingwood,45,MCG,VIC,3
2020,round8,Game8,Brisbane,53,Gabba,QLD,2
2020,round8,Game9,Geelong,48,Kardinia Park,VIC,5
2020,round9,Game1,Richmond,90,MCG,VIC,9
2020,round9,Game2,Port Adelaide,83,Adelaide Oval,SA,1
2020,round9,Game3,Hawthorn,89,MCG,VIC,15
2020,round9,Game4,Brisbane,91,Gabba,QLD,2
2020,round9,Game5,Adelaide,50,Adelaide Oval,SA,18
2020,round9,Game6,Sydney,48,SCG,NSW,14
2020,round9,Game7,Geelong,64,Kardinia Park,VIC,3
2020,round9,Game8,Greater Western Sydney,61,Sydney Showground,NSW,12
2020,round9,Game9,Collingwood,49,MCG,VIC,8
2020,round10,Game1,Western Bulldogs,42,Docklands,VIC,8
2020,round10,Game2,Brisbane,41,Gabba,QLD,2
2020,round10,Game3,North Melbourne,57,Docklands,VIC,14
2020,round10,Game4,Melbourne,88,MCG,VIC,15
2020,round10,Game5,Sydney,41,SCG,NSW,17
2020,round10,Game6,St. Kilda,78,Docklands,VIC,3
2020,round10,Game7,Greater Western Sydney,59,Sydney Showground,NSW,7
2020,round11,Game1,Richmond,72,MCG,VIC,4
2020,round11,Game2,Western Bulldogs,72,Docklands,VIC,9
2020,round11,Game3,Carlton,50,Docklands,VIC,13
2020,round11,Game4,North Melbourne,35,Docklands,VIC,15
2020,round11,Game5,Geelong,93,Kardinia Park,VIC,5
2020,round11,Game6,Hawthorn,32,MCG,VIC,14
2020,round11,Game7,Collingwood,62,MCG,VIC,8
2020,round11,Game8,Essendon,73,Docklands,VIC,10
2020,round12,Game1,Greater Western Sydney,25,Sydney Showground,NSW,8
2020,round12,Game2,Port Adelaide,31,Adelaide Oval,SA,1
2020,round12,Game3,Brisbane,53,Gabba,QLD,2
2020,round12,Game4,Collingwood,44,MCG,VIC,7
2020,round12,Game5,Carlton,40,Docklands,VIC,13
2020,round12,Game6,Adelaide,54,Adelaide Oval,SA,18
2020,round12,Game7,Essendon,33,Docklands,VIC,9
2020,round12,Game8,Hawthorn,49,MCG,VIC,15
2020,round12,Game9,Gold Coast,32,Metricon,QLD,12
2020,round13,Game1,Carlton,60,Docklands,VIC,12
2020,round13,Game2,Melbourne,52,MCG,VIC,8
2020,round13,Game3,Hawthorn,58,MCG,VIC,16
2020,round13,Game4,Richmond,73,MCG,VIC,6
2020,round13,Game5,Sydney,19,SCG,NSW,15
2020,round13,Game6,Geelong,65,Kardinia Park,VIC,3
2020,round13,Game7,St. Kilda,48,Docklands,VIC,5
2020,round13,Game8,Greater Western Sydney,49,Sydney Showground,NSW,9
2020,round13,Game9,North Melbourne,35,Docklands,VIC,17
2020,round14,Game1,Essendon,87,Docklands,VIC,12
2020,round14,Game2,West Coast,61,Perth Stadium,WA,4
2020,round14,Game3,Geelong,72,Kardinia Park,VIC,3
2020,round14,Game4,Sydney,47,SCG,NSW,16
2020,round14,Game5,Greater Western Sydney,91,Sydney Showground,NSW,11
2020,round14,Game6,St. Kilda,49,Docklands,VIC,6
2020,round14,Game7,Collingwood,72,MCG,VIC,7
2020,round14,Game8,North Melbourne,28,Docklands,VIC,17
2020,round15,Game1,Adelaide,83,Adelaide Oval,SA,18
2020,round15,Game2,Essendon,45,Docklands,VIC,11
2020,round15,Game3,Fremantle,29,Perth Stadium,WA,14
2020,round15,Game4,Melbourne,46,MCG,VIC,8
2020,round15,Game5,Carlton,39,Docklands,VIC,12
2020,round15,Game6,Collingwood,34,MCG,VIC,6
2020,round16,Game1,Port Adelaide,78,Adelaide Oval,SA,1
2020,round16,Game2,Hawthorn,66,MCG,VIC,16
2020,round16,Game3,Essendon,42,Docklands,VIC,11
2020,round16,Game4,West Coast,47,Perth Stadium,WA,5
2020,round16,Game5,Fremantle,47,Perth Stadium,WA,14
2020,round16,Game6,Greater Western Sydney,47,Sydney Showground,NSW,8
2020,round16,Game7,Sydney,52,SCG,NSW,15
2020,round16,Game8,Gold Coast,43,Metricon,QLD,13
2020,round17,Game1,West Coast,65,Perth Stadium,WA,5
2020,round17,Game2,Richmond,57,MCG,VIC,4
2020,round17,Game3,Fremantle,99,Perth Stadium,WA,13
2020,round17,Game4,Essendon,29,Docklands,VIC,12
2020,round17,Game5,Melbourne,79,MCG,VIC,10
2020,round17,Game6,Adelaide,72,Adelaide Oval,SA,18
2020,round17,Game7,Western Bulldogs,76,Docklands,WA,9
2020,round17,Game8,Brisbane,73,Gabba,QLD,2
2020,round17,Game9,Gold Coast,46,Metricon,QLD,14
2020,round18,Game1,West Coast,49,Perth Stadium,WA,5
2020,round18,Game2,Greater Western Sydney,30,Sydney Showground,nw,10
2020,round18,Game3,Melbourne,68,MCG,VIC,9
2020,round18,Game4,Richmond,77,MCG,VIC,3
2020,round18,Game5,Carlton,61,Docklands,VIC,12
2020,round18,Game6,Gold Coast,57,Metricon,QLD,14
2020,round18,Game7,Geelong,69,Kardinia Park,VIC,4
2020,round18,Game8,Western Bulldogs,74,Docklands,VIC,8
2020,round18,Game9,Port Adelaide,61,Adelaide Oval,SA,1
2019,round1,Game1,Richmond,97,MCG,VIC,1
2019,round1,Game2,Geelong,72,Kardinia Park,VIC,8
2019,round1,Game3,Port Adelaide,87,Adelaide Oval,SA,10
2019,round1,Game4,Hawthorn,87,MCG,VIC,4
2019,round1,Game5,Sydney,65,SCG,NSW,6
2019,round1,Game6,West Coast,58,Perth Stadium,WA,2
2019,round1,Game7,Gold Coast,84,Metricon,QLD,17
2019,round1,Game8,Essendon,40,Docklands,VIC,11
2019,round1,Game9,North Melbourne,59,Docklands,VIC,9
2019,round2,Game1,Collingwood,110,MCG,VIC,11
2019,round2,Game2,Adelaide,88,Adelaide Oval,SA,15
2019,round2,Game3,St. Kilda,76,Docklands,VIC,9
2019,round2,Game4,Carlton,72,Docklands,VIC,14
2019,round2,Game5,Greater Western Sydney,52,Sydney Showground,NSW,1
2019,round2,Game6,Melbourne,46,MCG,VIC,13
2019,round2,Game7,Brisbane,107,Gabba,QLD,3
