Year,Round,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2019,R1G2,Carlton,64,MCG,Docklands,VIC,18
2019,R1G2,Collingwood,65,MCG,MCG,VIC,3
2019,R1G3,Melbourne,61,MCG,MCG,VIC,5
2019,r1g4,Adelaide,55,Adelaide Oval,Adelaide Oval,SA,12
2019,r1g5,Western Bulldogs,82,Docklands,Docklands,VIC,13
2019,r1g6,Brisbane,102,Gabba,Gabba,QLD,15
2019,r1g7,St. Kilda,85,Docklands,Docklands,VIC,16
2019,r1g8,Greater Western Sydney,112,Sydney Showground,Sydney Showground,NSW,7
2019,r1g9,Fremantle,141,Perth Stadium,Perth Stadium,WA,14
2019,r2g1,Richmond,66,MCG,MCG,VIC,5
2019,r2g2,Sydney,65,SCG,SCG,NSW,12
2019,r2g3,Essendon,65,Docklands,Docklands,VIC,18
2019,r2g4,Port Adelaide,88,Adelaide Oval,Adelaide Oval,SA,6
2019,r2g5,West Coast,104,Perth Stadium,Perth Stadium,WA,16
2019,r2g6,Geelong,126,Kardinia Park,Kardinia Park,VIC,8
2019,r2g7,North Melbourne,87,Docklands,Docklands,VIC,17
2019,r2g8,Hawthorn,87,MCG,MCG,VIC,4
2019,r2g9,Gold Coast,61,Metricon,Metricon,QLD,10
2019,r3g1,Adelaide,75,Adelaide Oval,Adelaide Oval,SA,12
2019,r3g2,Melbourne,112,MCG,MCG,VIC,18
2019,r3g3,Carlton,74,Docklands,Docklands,VIC,15
2019,r3g4,Greater Western Sydney,125,Sydney Showground,Sydney Showground,NSW,8
2019,r3g5,Brisbane,107,Gabba,Gabba,QLD,2
2019,r3g6,Collingwood,76,MCG,MCG,VIC,7
2019,r3g7,Western Bulldogs,68,Docklands,Docklands,VIC,4
2019,r3g8,Hawthorn,87,MCG,MCG,VIC,9
2019,r3g9,Fremantle,71,Perth Stadium,Perth Stadium,WA,6
2019,r4g1,Sydney,78,SCG,SCG,NSW,12
2019,r4g2,Collingwood,78,MCG,MCG,VIC,11
2019,r4g3,Geelong,75,Kardinia Park,Kardinia Park,VIC,1
2019,r4g4,Essendon,112,MCG,Docklands,VIC,15
2019,r4g5,Port Adelaide,92,Adelaide Oval,Adelaide Oval,SA,8
2019,r4g6,North Melbourne,71,Docklands,Docklands,VIC,17
2019,r4g7,West Coast,69,Perth Stadium,Perth Stadium,WA,6
2019,r4g8,Gold Coast,59,Metricon,Metricon,QLD,9
2019,r4g9,St. Kilda,74,Docklands,Docklands,VIC,10
2019,r5g1,Brisbane,61,Gabba,Gabba,QLD,4
2019,r5g2,North Melbourne,58,Docklands,Docklands,VIC,17
2019,r5g3,West Coast,53,Perth Stadium,Perth Stadium,WA,3
2019,r5g4,Greater Western Sydney,82,UNSW Canberra Oval,Sydney Showground,NSW,2
