Year,Round,Game,Home,Home Score,Venue,Home Field-H,Home State,LP-H
2020,round1,Game1,Richmond,105,MCG,MCG,VIC,3
2020,round1,Game2,Western Bulldogs,34,Docklands,Docklands,VIC,7
2020,round1,Game3,Essendon,63,Docklands,Docklands,VIC,8
2020,round1,Game4,Adelaide,71,Adelaide Oval,Adelaide Oval,SA,11
2020,round1,Game5,Gold Coast,29,Metricon,Metricon,QLD,18
2020,round1,Game6,Greater Western Sydney,105,Sydney Showground,Sydney Showground,NSW,6
2020,round1,Game7,North Melbourne,56,Docklands,Docklands,VIC,12
2020,round1,Game8,Hawthorn,90,MCG,MCG,VIC,9
2020,round1,Game9,West Coast,78,Perth Stadium,Perth Stadium,WA,5
2020,round2,Game1,Collingwood,36,MCG,MCG,VIC,6
2020,round2,Game2,Geelong,108,Kardinia Park,Kardinia Park,VIC,17
2020,round2,Game3,Brisbane,81,Gabba,Gabba,QLD,7
2020,round2,Game4,Carlton,53,Docklands,Docklands,VIC,11
2020,round2,Game5,Port Adelaide,110,Adelaide Oval,Adelaide Oval,SA,18
2020,round2,Game6,Gold Coast,90,Metricon,Metricon,QLD,5
2020,round2,Game7,Greater Western Sydney,60,Sydney Showground,Sydney Showground,NSW,9
2020,round2,Game8,Sydney,73,SCG,SCG,NSW,4
2020,round2,Game9,St. Kilda,88,Docklands,Docklands,VIC,3
2020,round3,Game1,Richmond,39,MCG,MCG,VIC,5
2020,round3,Game2,Western Bulldogs,57,Docklands,Docklands,VIC,18
2020,round3,Game3,North Melbourne,60,Docklands,Docklands,VIC,2
2020,round3,Game4,Collingwood,81,MCG,MCG,VIC,4
2020,round3,Game5,Geelong,77,Kardinia Park,Kardinia Park,VIC,7
2020,round3,Game6,Brisbane,74,Gabba,Gabba,QLD,11
2020,round3,Game7,Gold Coast,82,Metricon,Metricon,QLD,10
2020,round3,Game8,Fremantle,41,Metricon,Perth Stadium,WA,14
2020,round4,Game1,Sydney,39,SCG,SCG,NSW,7
2020,round4,Game2,Greater Western Sydney,66,Sydney Showground,Sydney Showground,NSW,12
2020,round4,Game3,Port Adelaide,89,Metricon,Adelaide Oval,SA,1
2020,round4,Game4,St. Kilda,93,Docklands,Docklands,VIC,11
2020,round4,Game5,Essendon,51,MCG,Docklands,VIC,4
2020,round4,Game6,Gold Coast,64,Metricon,Metricon,QLD,3
2020,round4,Game7,Brisbane,83,Gabba,Gabba,QLD,5
2020,round4,Game8,Melbourne,44,MCG,MCG,VIC,14
2020,round4,Game9,Hawthorn,58,Docklands,MCG,VIC,8
2020,round5,Game1,Carlton,55,Docklands,Docklands,VIC,12
2020,round5,Game2,Collingwood,48,MCG,MCG,VIC,5
2020,round5,Game3,West Coast,77,Metricon,Perth Stadium,WA,16
