,Player,Team,Position,DOB,Age,Height,Weight,,,,
260,Robert Murphy,Western Bulldogs,Defender,9 Jun 82,34yr,187cm,83kg,,,,
873,Josh Dunkley,Western Bulldogs,Forward,9 Jan 97,22yr,189cm,82kg,,,,
204,Jason Johannisen,Western Bulldogs,Defender,8 Nov 92,26yr,178cm,77kg,,,,
413,Lindsay Gilbee,Western Bulldogs,Defender,8 Jul 81,30yr,180cm,82kg,,,,
5258,BrodieÿMoles,Western Bulldogs,Midfield,7 Nov 85,26yr,184cm,88kg,,,,
669,Caleb Daniel,Western Bulldogs,Forward,7 Jul 96,22yr,167cm,63kg,,,,
1331,Bailey Smith,Western Bulldogs,Midfield,7 Dec 00,18yr,185cm,83kg,,,,
5211,TomÿHill,Western Bulldogs,Forward,7 Apr 91,21yr,199cm,90kg,,,,
323,Josh Prudden,Western Bulldogs,Defender,6 Sep 94,22yr,182cm,80kg,,,,
1351,Ayce Cordy,Western Bulldogs,Ruck,6 Aug 90,24yr,202cm,99kg,,,,
971,Lachie Young,Western Bulldogs,Defender,6 Apr 99,20yr,189cm,75kg,,,,
702,Travis Cloke,Western Bulldogs,Forward,5 Mar 87,30yr,196cm,108kg,,,,
1315,Will Hayes,Western Bulldogs,Midfield,5 Jun 95,23yr,181cm,78kg,,,,
383,Lukas Markovic,Western Bulldogs,Defender,5 Jan 87,26yr,193cm,93kg,,,,
201,Shane Biggs,Western Bulldogs,Defender,5 Aug 91,26yr,187cm,83kg,,,,
210,Easton Wood,Western Bulldogs,Defender,4 Sep 89,29yr,186cm,84kg,,,,
670,Lukas Webb,Western Bulldogs,Forward,4 Mar 96,23yr,186cm,80kg,,,,
875,Lin Jong,Western Bulldogs,Forward,4 Jun 93,25yr,190cm,87kg,,,,
874,Toby McLean,Western Bulldogs,Forward,31 Jan 96,23yr,180cm,72kg,,,,
205,Aaron Naughton,Western Bulldogs,Defender,30 Nov 99,19yr,194cm,85kg,,,,
215,Marcus Adams,Western Bulldogs,Defender,30 Jun 93,25yr,193cm,95kg,,,,
1342,Jordan Roughead,Western Bulldogs,Ruck,3 Nov 90,28yr,200cm,100kg,,,,
206,Fletcher Roberts,Western Bulldogs,Defender,3 Jun 93,25yr,196cm,88kg,,,,
211,Ed Richards,Western Bulldogs,Defender,3 Jul 99,19yr,185cm,78kg,,,,
458,Laitham Vandermeer,Western Bulldogs,Defender,3 Feb 99,20yr,180cm,76kg,,,,
1147,Jack Macrae,Western Bulldogs,Midfield,3 Aug 94,24yr,188cm,80kg,,,,
214,Dale Morris,Western Bulldogs,Defender,29 Dec 82,36yr,190cm,90kg,,,,
202,Zaine Cordy,Western Bulldogs,Defender,27 Oct 96,22yr,191cm,83kg,,,,
829,Zephaniah Skinner,Western Bulldogs,Forward,27 Jun 89,22yr,189cm,79kg,,,,
259,Matthew Boyd,Western Bulldogs,Defender,27 Aug 82,34yr,184cm,88kg,,,,
671,Tory Dickson,Western Bulldogs,Forward,26 Sep 87,31yr,183cm,82kg,,,,
412,Ryan Hargrave,Western Bulldogs,Defender,26 Jul 81,30yr,190cm,85kg,,,,
905,Justin Sherman,Western Bulldogs,Forward,26 Jan 87,25yr,183cm,87kg,,,,
348,Tom Young,Western Bulldogs,Defender,26 Apr 92,21yr,192cm,90kg,,,,
207,Matt Suckling,Western Bulldogs,Defender,25 Jul 88,30yr,187cm,86kg,,,,
5210,AlexÿGreenwood,Western Bulldogs,Midfield,24 Oct 93,20yr,178cm,78kg,,,,
876,Mitch Wallis,Western Bulldogs,Forward,24 Oct 92,26yr,185cm,84kg,,,,
1144,Marcus Bontempelli,Western Bulldogs,Midfield,24 Nov 95,23yr,194cm,84kg,,,,
972,Buku Khamis,Western Bulldogs,Defender,24 Mar 00,19yr,189cm,82kg,,,,
350,Mark Austin,Western Bulldogs,Defender,24 Feb 89,25yr,194cm,95kg,,,,
203,Hayden Crozier,Western Bulldogs,Defender,24 Dec 93,25yr,185cm,78kg,,,,
1249,Nick Lower,Western Bulldogs,Midfield,23 Jun 87,25yr,187cm,87kg,,,,
872,Bailey Dale,Western Bulldogs,Forward,22 Jul 96,22yr,182cm,70kg,,,,
1206,Daniel Pearce,Western Bulldogs,Midfield,22 Jan 93,22yr,182cm,77kg,,,,
1317,Callum Porter,Western Bulldogs,Midfield,22 Feb 99,20yr,182cm,76kg,,,,
1343,Tom Boyd,Western Bulldogs,Ruck,22 Aug 95,23yr,201cm,102kg,,,,
673,Josh Schache,Western Bulldogs,Forward,21 Aug 97,21yr,199cm,98kg,,,,
871,Luke Dahlhaus,Western Bulldogs,Forward,21 Aug 92,26yr,178cm,76kg,,,,
212,Lewis Young,Western Bulldogs,Defender,20 Dec 98,20yr,198cm,91kg,,,,
674,Fergus Greene,Western Bulldogs,Forward,20 Dec 97,21yr,190cm,75kg,,,,
950,Ben Cavarra,Western Bulldogs,Forward,20 Dec 95,23yr,175cm,72kg,,,,
1398,Tom Campbell,Western Bulldogs,Ruck,2 Nov 91,27yr,201cm,104kg,,,,
208,Jackson Trengove,Western Bulldogs,Defender,2 Nov 90,28yr,197cm,96kg,,,,
668,Mitch Honeychurch,Western Bulldogs,Forward,2 Mar 95,23yr,177cm,67kg,,,,
1440,Jordon Sweet,Western Bulldogs,Ruck,2 Feb 98,21yr,202cm,107kg,,,,
828,Nathan Djerrkura,Western Bulldogs,Forward,19 Sep 88,23yr,176cm,80kg,,,,
349,Christian Howard,Western Bulldogs,Defender,19 Mar 91,23yr,186cm,82kg,,,,
830,Andrew Hooper,Western Bulldogs,Forward,18 Jan 91,21yr,172cm,83kg,,,,
877,Patrick Lipinski,Western Bulldogs,Forward,17 Jul 98,20yr,188cm,79kg,,,,
779,Tom Williams,Western Bulldogs,Forward,17 Jul 86,27yr,198cm,100kg,,,,
322,Brett Goodes,Western Bulldogs,Defender,17 Feb 84,31yr,183cm,88kg,,,,
1146,Tom Liberatore,Western Bulldogs,Midfield,16 May 92,26yr,181cm,81kg,,,,
472,Jed Adcock,Western Bulldogs,Forward,15 Nov 85,30yr,184cm,83kg,,,,
324,Sam Darley,Western Bulldogs,Defender,15 Feb 93,22yr,183cm,80kg,,,,
295,Kieran Collins,Western Bulldogs,Defender,14 Dec 97,20yr,193cm,98kg,,,,
1145,Lachie Hunter,Western Bulldogs,Midfield,13 Dec 94,24yr,181cm,80kg,,,,
672,Jack Redpath,Western Bulldogs,Forward,13 Dec 90,27yr,194cm,99kg,,,,
1316,Rhylee West,Western Bulldogs,Midfield,12 Jul 00,18yr,181cm,82kg,,,,
213,Roarke Smith,Western Bulldogs,Defender,11 Sep 96,22yr,181cm,74kg,,,,
