Player,Team,Position,,,
Luke Brown,Adelaide,Defender,,,
Tom Doedee,Adelaide,Defender,,,
Kyle Hartigan,Adelaide,Defender,,,
Jake Kelly,Adelaide,Defender,,,
Rory Laird,Adelaide,Defender,,,
David Mackay,Adelaide,Defender,,,
Daniel Talia,Adelaide,Defender,,,
Wayne Milera,Adelaide,Defender,,,
Andy Otten,Adelaide,Defender,,,
Kyle Cheney,Adelaide,Defender,,,
Alex Keath,Adelaide,Defender,,,
Brodie Smith,Adelaide,Defender,,,
Harris Andrews,Brisbane Lions,Defender,,,
Darcy Gardiner,Brisbane Lions,Defender,,,
Luke Hodge,Brisbane Lions,Defender,,,
Ryan Lester,Brisbane Lions,Defender,,,
Sam Mayes,Brisbane Lions,Defender,,,
Daniel Rich,Brisbane Lions,Defender,,,
Nick Robertson,Brisbane Lions,Defender,,,
Josh Walker,Brisbane Lions,Defender,,,
Alex Witherden,Brisbane Lions,Defender,,,
Cedric Cox,Brisbane Lions,Defender,,,
Jacob Allison,Brisbane Lions,Defender,,,
Matt Eagles,Brisbane Lions,Defender,,,
Ciaran Byrne,Carlton,Defender,,,
Liam Jones,Carlton,Defender,,,
Caleb Marchbank,Carlton,Defender,,,
Aaron Mullett,Carlton,Defender,,,
Lachie Plowman,Carlton,Defender,,,
Kade Simpson,Carlton,Defender,,,
Dale Thomas,Carlton,Defender,,,
Jacob Weitering,Carlton,Defender,,,
David Cuningham,Carlton,Defender,,,
Cameron OShea,Carlton,Defender,,,
Sam Rowe,Carlton,Defender,,,
Jack Crisp,Collingwood,Defender,,,
Lynden Dunn,Collingwood,Defender,,,
Jeremy Howe,Collingwood,Defender,,,
Tom Langdon,Collingwood,Defender,,,
Brayden Maynard,Collingwood,Defender,,,
Sam Murray,Collingwood,Defender,,,
Matt Scharenberg,Collingwood,Defender,,,
Flynn Appleby,Collingwood,Defender,,,
Levi Greenwood,Collingwood,Defender,,,
Jack Madgen,Collingwood,Defender,,,
Adam Oxley,Collingwood,Defender,,,
Nathan Murphy,Collingwood,Defender,,,
Tyson Goldsack,Collingwood,Defender,,,
Matt Dea,Essendon,Defender,,,
Michael Hartley,Essendon,Defender,,,
Cale Hooker,Essendon,Defender,,,
Michael Hurley,Essendon,Defender,,,
Conor McKenna,Essendon,Defender,,,
Adam Saad,Essendon,Defender,,,
Patrick Ambrose,Essendon,Defender,,,
Ben McNiece,Essendon,Defender,,,
Jordan Ridley,Essendon,Defender,,,
Mason Redman,Essendon,Defender,,,
Aaron Francis,Essendon,Defender,,,
Connor Blakely,Fremantle,Defender,,,
Michael Johnson,Fremantle,Defender,,,
Shane Kersten,Fremantle,Defender,,,
Alex Pearce,Fremantle,Defender,,,
Luke Ryan,Fremantle,Defender,,,
Cameron Sutcliffe,Fremantle,Defender,,,
Nathan Wilson,Fremantle,Defender,,,
Joel Hamling,Fremantle,Defender,,,
Stephen Hill,Fremantle,Defender,,,
Taylin Duman,Fremantle,Defender,,,
Ethan Hughes,Fremantle,Defender,,,
